"2001:503:5ae2::", "2001:503:5ae2:ffff:ffff:ffff:ffff:ffff", "42540589839835216680849451320902418432", "42540589839836425606669065950077124607", "US", "United States"
"2001:503:6810::", "2001:503:6810:ffff:ffff:ffff:ffff:ffff", "42540589843914132396229210156361056256", "42540589843915341322048824785535762431", "US", "United States"
"2001:503:7bbb::", "2001:503:7bbb:ffff:ffff:ffff:ffff:ffff", "42540589850001073897988868051006652416", "42540589850002282823808482680181358591", "US", "United States"
"2001:503:7bbf::", "2001:503:7bbf:ffff:ffff:ffff:ffff:ffff", "42540589850005909601267326567705477120", "42540589850007118527086941196880183295", "US", "United States"
"2001:503:8028::", "2001:503:8028:ffff:ffff:ffff:ffff:ffff", "42540589851370786851612242905948749824", "42540589851371995777431857535123455999", "US", "United States"
"2001:503:83eb::", "2001:503:83eb:ffff:ffff:ffff:ffff:ffff", "42540589852534982415901130801190797312", "42540589852536191341720745430365503487", "US", "United States"
"2001:503:91ef::", "2001:503:91ef:ffff:ffff:ffff:ffff:ffff", "42540589856872608256678420280036556800", "42540589856873817182498034909211262975", "US", "United States"
"2001:503:a124::", "2001:503:a124:ffff:ffff:ffff:ffff:ffff", "42540589861578956472438171657167699968", "42540589861580165398257786286342406143", "US", "United States"
"2001:503:a83e::", "2001:503:a83e:ffff:ffff:ffff:ffff:ffff", "42540589863776783612497567496783527936", "42540589863777992538317182125958234111", "US", "United States"
"2001:503:ba3e::", "2001:503:ba3e:ffff:ffff:ffff:ffff:ffff", "42540589869347513789281778733829586944", "42540589869348722715101393363004293119", "US", "United States"
"2001:503:bfb0::", "2001:503:bfb0:ffff:ffff:ffff:ffff:ffff", "42540589871032756381824571803369996288", "42540589871033965307644186432544702463", "US", "United States"
"2001:503:c779::", "2001:503:c779:ffff:ffff:ffff:ffff:ffff", "42540589873442145540316527748559405056", "42540589873443354466136142377734111231", "US", "United States"
"2001:503:cc2c::", "2001:503:cc2c:ffff:ffff:ffff:ffff:ffff", "42540589874896483301312926645730934784", "42540589874897692227132541274905640959", "US", "United States"
"2001:503:d1ae::", "2001:503:d1ae:ffff:ffff:ffff:ffff:ffff", "42540589876601068706969553782066642944", "42540589876602277632789168411241349119", "US", "United States"
"2001:503:d414::", "2001:503:d414:ffff:ffff:ffff:ffff:ffff", "42540589877343349160212936095336235008", "42540589877344558086032550724510941183", "US", "United States"
"2001:503:e239::", "2001:503:e239:ffff:ffff:ffff:ffff:ffff", "42540589881720869553037508336947298304", "42540589881722078478857122966122004479", "US", "United States"
"2001:503:e8ef::", "2001:503:e8ef:ffff:ffff:ffff:ffff:ffff", "42540589883797804111135441259092508672", "42540589883799013036955055888267214847", "US", "United States"
"2001:503:eea3::", "2001:503:eea3:ffff:ffff:ffff:ffff:ffff", "42540589885562835807772799854163525632", "42540589885564044733592414483338231807", "US", "United States"
"2001:503:f189::", "2001:503:f189:ffff:ffff:ffff:ffff:ffff", "42540589886459858765926854701795508224", "42540589886461067691746469330970214399", "US", "United States"
"2001:503:f261::", "2001:503:f261:ffff:ffff:ffff:ffff:ffff", "42540589886720986742963614603532042240", "42540589886722195668783229232706748415", "US", "United States"
"2001:503:f3da::", "2001:503:f3da:ffff:ffff:ffff:ffff:ffff", "42540589887176751776958329802396270592", "42540589887177960702777944431570976767", "US", "United States"
